Model,Params,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1-Score Mean,F1-Score Std,Log Loss Mean,AUC Mean
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.513,0.018055470085267804,0.5184190550092178,0.021375487408800204,0.513,0.018055470085267804,0.47940018309061794,0.020609867312781204,1.0775766077158608,0.806252118347339
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.525,0.014491376746189452,0.5550185031156449,0.025322545906036577,0.525,0.014491376746189452,0.49721957861025234,0.019821965414921986,1.0909105104389882,0.8140994324229693
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.508,0.02400000000000002,0.5094685347563577,0.03909744582343825,0.508,0.02400000000000002,0.4850645227907965,0.032571168295930736,1.065012200519464,0.8007327801120449
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.511,0.04317406628984579,0.5217935987986995,0.05244313358316454,0.511,0.04317406628984579,0.4796874141728815,0.05049421278460056,1.0800182365925977,0.8077305031512605
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.518,0.012083045973594582,0.5536026277081421,0.016423777588305228,0.518,0.012083045973594582,0.49150941493249556,0.01757897589897965,1.0976983595093128,0.8108370791316526
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.5050000000000001,0.023664319132398484,0.5080663598688672,0.04101636767296265,0.5050000000000001,0.023664319132398484,0.48394749128779635,0.02958742215838278,1.067502113165171,0.7965390591736694
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5090000000000001,0.0243721152139079,0.5027232828064757,0.052560023142098206,0.5090000000000001,0.0243721152139079,0.47768219855717975,0.0251141416617308,1.0835007769782077,0.8043984404761906
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.5110000000000001,0.033376638536557285,0.551237943936415,0.04911840950442489,0.5110000000000001,0.033376638536557285,0.4872907145167361,0.04104932815352538,1.0938593209861989,0.8138995686274508
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.5050000000000001,0.029664793948382662,0.5133842478406455,0.043509799683455135,0.5050000000000001,0.029664793948382662,0.4834806461677458,0.03484000981267855,1.0665052284603826,0.7963555777310926
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.522,0.04106093033529561,0.5239311315134934,0.07893361539001507,0.522,0.04106093033529561,0.4886602080040731,0.04641386355312757,1.074376831434202,0.8136113123249299
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.507,0.023366642891095864,0.5311575467973606,0.02211766418637848,0.507,0.023366642891095864,0.4804263046405957,0.029619417161760645,1.1044179304949857,0.8046287303921569
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.512,0.024207436873820428,0.5204364399804724,0.042723237841058234,0.512,0.024207436873820428,0.4895440767045878,0.03112632685495083,1.0654824574225639,0.7994509341736695
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.508,0.02400000000000002,0.5658126883100596,0.04868754748909982,0.508,0.02400000000000002,0.46855247041828213,0.037407870469243286,1.0850402021028074,0.8076289257703081
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.5,0.015491933384829681,0.5646038112208265,0.04309655130068203,0.5,0.015491933384829681,0.4616541210785788,0.023657202040191685,1.1124854470172696,0.8022951141456582
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.5130000000000001,0.01326649916142161,0.5156334050114756,0.02724113367104612,0.5130000000000001,0.01326649916142161,0.48443303294032647,0.02187254081510865,1.0719475655566197,0.7938738998599439
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.506,0.01743559577416271,0.5489056402519915,0.041409167334105206,0.506,0.01743559577416271,0.4626768995339302,0.023648087350342597,1.089879344943249,0.8068602780112044
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.506,0.018814887722226795,0.5727846285980961,0.029053063663290565,0.506,0.018814887722226795,0.47047806618630783,0.02929831477004969,1.1160187015788776,0.8031798900560225
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.513,0.022271057451320107,0.5098914038361304,0.0360539497490472,0.513,0.022271057451320107,0.48288209283081696,0.033668579526324335,1.0663461382306632,0.7980769964985995
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.509,0.021307275752662537,0.5269376849296024,0.05930734038342739,0.509,0.021307275752662537,0.46796701166764426,0.029772617857610227,1.0880084072958418,0.8048600168067226
RandomForest,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.501,0.030066592756745846,0.5461771153070476,0.052571167259732994,0.501,0.030066592756745846,0.4599096156495489,0.03694671323959765,1.1153425412516615,0.8028757345938375
